index,nmod,symbol,smod,cplx_index,z_time_phase,z_time_norm,z_time,z_carrier,zeta_symbol,psi_v,psi_v_z,z_log_scat,z_carrier_information,z_time_norm_phase,is_symbol_prime,is_n_prime,is_symbol_fibo,is_n_fibo
13,13,13,13,(-0.012820512820512815+0.022205779584216375j),(-31.26421152006005+46.460188097218726j),(7+12.12435565298214j),(0.10983748837841421-0.22457899756371189j),(-1.4004279768247812-0.44728719611314804j),(-0.4999999999999998+0.8660254037844387j),(-0.06282051282051279+0.10880831996266026j),(-1.4504279768247812-0.36068465573470415j),(-0.19534452978042585+0.33834665056034935j),8.58849800490154,(-8.95912095325074+10.757980839591761j),1,1,0,0
14,14,14,14,(-0.016216548092189156+0.01986166568788858j),(-40.75900291971984+44.03071292848061j),(7.5+12.990381056766578j),(0.07396756034560083-0.23880703510684076j),(-1.0910215150976121-0.26881178909611075j),(-0.6324453755953772+0.7746049618276546j),(-0.07946108565172688+0.09732216187065404j),(-1.1542660526571498-0.1913512929133453j),(-0.2529781502381509+0.30984198473106184j),8.58849800490154,(-11.330539261764143+9.829490324407526j),0,0,0,0
15,15,15,15,(-0.019192583286438483+0.01700314508309732j),(-50.18617169559239+39.71584281543728j),(8+13.856406460551018j),(0.0363353240745397-0.24734539458902033j),(-0.60861667824854-0.06421554995685516j),(-0.7485107481711009+0.6631226582407955j),(-0.09404365810354857+0.08331541090717687j),(-0.6834677530656501+0.0020967158672243885j),(-0.30595098694258654+0.27104892247504j),8.58849800490154,(-13.61710789115177+8.400855473148676j),0,0,0,0
16,16,16,16,(-0.021671540654969092+0.013704251951994904j),(-59.18163989464618+33.48930425345418j),(8.5+14.722431864335457j),(-0.0021626165763437974-0.24999064600409296j),(0.0405490608064462+0.15159594281420438j),(-0.8451900855437946+0.5344658261278012j),(-0.10619054920934856+0.06715083456477502j),(-0.043969947747933266+0.2050425254269845j),(-0.35243792686802355+0.22286824107868383j),8.58849800490154,(-15.717131865206342+6.478562026539162j),0,0,0,0
17,17,17,17,(-0.023589216504072415+0.01005042589384808j),(-67.37341224560946+25.39337162298779j),(9+15.588457268119894j),(-0.04060903197763342-0.24667976512442105j),(0.8426374135358935+0.3632191464559839j),(-0.9199794436588242+0.39196660986007514j),(-0.11558716086995485+0.0492470868798556j),(0.7506394691700111+0.40241580744199146j),(-0.39080059905208425+0.16650457463758211j),8.58849800490154,(-17.52937013195781+4.089154286258378j),1,1,0,0
18,18,18,18,(-0.02489594403656543+0.006136299084296361j),(-74.39419576305738+15.54038727856851j),(9.5+16.454482671904334j),(-0.07808792011065739-0.23749163507962037j),(1.7765001825174556+0.5553640401696159j),(-0.9709418174260519+0.2393156642875581j),(-0.12199012577917064+0.03006786551305217j),(1.6794060007748504+0.5792956065983718j),(-0.419634071923465+0.10343050930310296j),8.58849800490154,(-18.956891875100677+1.279160050869979j),0,0,0,0
19,19,19,19,(-0.02555787969574897+0.002063245351710925j),(-79.89425150210785+4.112004002665564j),(10+17.32050807568877j),(-0.11370633070088204-0.22264516693281633j),(2.8142316848468307+0.7134625794194577j),(-0.9967573081342099+0.08046656871672608j),(-0.12523361050916998+0.010109902223383534j),(2.71455595403341+0.7215092362911303j),(-0.4378074490799948+0.035343471172570036j),8.58849800490154,(-19.9109040176406-1.8857097338411075j),1,1,0,0
20,20,20,20,(-0.025557879695748974-0.0020632453517109074j),(-83.55407456091172-8.64387784906795j),(10.5+18.186533479473212j),(-0.1466156401338044-0.20249408403248415j),(3.9219683735792676+0.8242538043334273j),(-0.99675730813421-0.08046656871672539j),(-0.12523361050916998-0.010109902223383446j),(3.822292642765847+0.8162071474617548j),(-0.44449710560014954-0.0358835160778616j),8.58849800490154,(-20.31441609403659-5.322076545705326j),0,0,0,0
21,21,21,21,(-0.024895944036565438-0.006136299084296345j),(-85.09649664769742-22.41843567888761j),(11+19.05255888325765j),(-0.17603177026952505-0.1775184944048849j),(5.060913395248845+0.8763259908553924j),(-0.9709418174260521-0.23931566428755743j),(-0.12199012577917065-0.03006786551305209j),(4.96381921350624+0.8523944244266367j),(-0.4392115466853344-0.10825592344597068j),8.58849800490154,(-20.10561161072958-8.931090737334136j),0,0,0,0
22,22,22,22,(-0.023589216504072415-0.010050425893848075j),(-84.29781588203998-36.84939941868371j),(11.5+19.918584287042087j),(-0.2012538694342381-0.14831345197839152j),(6.188556485102821+0.8605975382838226j),(-0.9199794436588242-0.3919666098600749j),(-0.11558716086995485-0.049247086879855566j),(6.096558540736939+0.8214008772978151j),(-0.4218071250610021-0.1797152207743243j),8.58849800490154,(-19.240802295537932-12.60125101027758j),0,0,0,0
23,23,23,23,(-0.021671540654969103-0.01370425195199489j),(-80.99758082072657-51.53049486653381j),(12+20.784609690826528j),(-0.22168101050615932-0.11557477917334774j),(7.260053094076718+0.7707201563737458j),(-0.845190085543795-0.5344658261278007j),(-0.10619054920934862-0.06715083456477496j),(7.175534085522338+0.7172735737609657j),(-0.39249412102887815-0.24819824348866487j),8.58849800490154,(-17.696853073879684-16.211767062276543j),1,1,0,0
24,24,24,24,(-0.019192583286438494-0.017003145083097308j),(-75.10668947567746-66.02261124799715j),(12.5+21.650635094610966j),(-0.23682650825697124-0.08008248864021862j),(8.229721161929751+0.6033902949740966j),(-0.7485107481711013-0.663122658240795j),(-0.09404365810354863-0.0833154109071768j),(8.154870087112641+0.5370780291500171j),(-0.3518329650158949-0.3116968080794334j),8.58849800490154,(-15.472980891228664-19.636365812941868j),0,0,0,0
25,25,25,25,(-0.01621654809218917-0.019861665687888566j),(-66.61350847927403-79.86639148028216j),(13+22.516660498395403j),(-0.246329514832102-0.04268219913009696j),(9.052609670079748+0.3585575799274661j),(-0.6324453755953777-0.7746049618276541j),(-0.07946108565172695-0.09732216187065398j),(8.989365132520211+0.2810970837447007j),(-0.30072066122195423-0.36831594521081235j),8.58849800490154,(-12.591849189416733-22.747424777125534j),0,0,0,0
26,26,26,26,(-0.012820512820512832-0.022205779584216368j),(-55.58777139252076-92.59589446413297j),(13.5+23.38268590217984j),(-0.24996361710264442-0.004264988272264739j),(9.68609016272747+0.039522198348715315j),(-0.5000000000000004-0.8660254037844384j),(-0.06282051282051287-0.1088083199626602j),(9.63609016272747-0.04708034202972852j),(-0.24036774610288042-0.41632914875100435j),8.58849800490154,(-9.099901390269368-25.42030280479312j),0,0,0,0
27,27,27,27,(-0.009092433001090664-0.023974775453472173j),(-42.18207700206744-103.75293913808733j),(14+24.24871130596428j),(-0.24764223105338862+0.034253837725138236j),(10.091420915425585-0.3470833786130642j),(-0.3546048870425359-0.9350162426854147j),(-0.04455292170534426-0.11747639972201365j),(10.055960426721331-0.4405850028816057j),(-0.17226638020319987-0.45422911371013347j),8.58849800490154,(-5.066900498578149-27.53772901561615j),0,0,0,0
28,28,28,28,(-0.0051288639429755015-0.025122837231853018j),(-26.630876626674365-112.90171128063051j),(14.5+25.11473670974872j),(-0.23942066468340367+0.0719565516305302j),(10.235233415215507-0.7914293379569152j),(-0.20002569377604457-0.9797906520422677j),(-0.02513143332057996-0.1231019024360798j),(10.215230845837903-0.889408403161142j),(-0.09815041956697426-0.4807725536171342j),8.58849800490154,(-0.5846671855980548-28.994105681708554j),0,0,0,0
29,29,29,29,(-0.0010324600028055165-0.025620230722347936j),(-9.246912066017986-119.64319712061915j),(15+25.980762113533157j),(-0.22549480026969662+0.1079448704262024j),(10.090892312068924-1.2807374667748326j),(-0.040265940109415144-0.9991889981715696j),(-0.005059054013747032-0.12553913053950488j),(10.086865718057982-1.3806563665919895j),(-0.01994853719243234-0.49501784481207484j),8.58849800490154,(4.234965323301008-29.699580278354727j),1,1,0,0
